timeGFP,GFPmean,GFPstd,timeRFP,RFPmean,RFPstd
0,158.6087488,23.0786033,0,2764.614663,705.3765333
4.983333333,125.6552943,19.87034221,4.983333333,4237.93877,948.4757852
10,120.4607297,18.03073329,9.983333333,3655.170777,829.5242407
14.93333333,110.4247238,16.90364185,14.91666667,3447.489488,775.0124981
20,101.6569782,16.7876858,19.98333333,3034.077928,700.4533674
24.95,102.7392792,15.93860186,24.93333333,3067.064112,701.6800812
29.96666667,111.6829512,15.71706518,29.96666667,3315.092869,720.0429909
34.93333333,122.3290773,16.33540486,34.93333333,3432.577485,708.5249456
39.95,130.1473927,17.50158333,39.93333333,3486.542636,701.0711032
44.93333333,133.2888403,19.63828799,44.93333333,3413.305518,684.7357156
49.95,137.8619919,21.0894544,49.93333333,3442.94389,675.9053962
54.95,141.0850853,22.40745792,54.93333333,3280.941558,644.1241892
59.96666667,145.0329847,24.13345261,59.96666667,3275.984638,636.0272166
64.95,151.0094687,26.68242837,64.93333333,3264.141859,632.9589107
69.93333333,156.4841565,28.17953846,69.93333333,3274.341726,628.9250022
74.95,160.2916822,29.29540285,74.93333333,3226.465258,616.6232784
79.95,161.7750612,28.8799904,79.93333333,3177.374314,597.9749023
84.95,161.946646,28.54121285,84.93333333,3131.371693,583.3155978
89.95,166.5002673,29.54339935,89.93333333,3120.608954,574.1723177
94.95,171.0024323,31.07555092,94.93333333,3079.934062,564.6655363
99.95,177.4721416,32.88651091,99.93333333,3045.449647,556.7094223
104.95,185.0083141,35.47985496,104.9333333,2926.119063,547.7150284
109.95,190.5337228,37.45787827,109.9333333,2831.316998,540.0705187
114.95,195.5511265,39.3349724,114.9333333,2737.008411,533.9600686
119.95,203.6223143,42.91415239,119.9333333,2590.393429,528.9441577
124.95,209.8212028,45.8812147,124.9333333,2453.949467,516.6129695
129.95,217.0770057,50.60354442,129.9333333,2321.247183,500.1512828
134.9333333,233.2625727,56.30734232,134.9333333,2301.322751,494.0531611
139.9333333,240.8772944,60.77159972,139.9333333,2134.752461,484.5435098
144.95,251.2170441,66.5683175,144.9333333,1999.94377,473.7330748
149.9833333,258.4340352,70.4271029,149.9666667,1900.85363,462.7993853
155.2333333,267.6425569,74.97015036,155.2166667,1719.424393,444.9356916
160.2166667,281.5601234,81.38891988,160.2,1579.216268,428.3431102
165.1166667,291.2676492,86.06389923,165.1166667,1484.234335,412.0360942
169.95,302.709091,90.87203303,169.95,1368.142211,390.2781788
174.9833333,323.5101467,96.80425766,174.9666667,1335.173305,390.4548794
180.1,342.1823833,101.6128467,180.0833333,1320.424868,391.8939967
184.95,365.9450046,106.9398902,184.9333333,1273.192661,384.5786165
189.95,375.0008912,109.4720022,189.9333333,1145.806029,359.572036
194.9833333,386.0304352,112.3284424,194.9666667,1047.105984,336.967087
199.9666667,402.0695013,116.1220545,199.9666667,908.8203853,303.9352509
205,414.2763308,118.5993173,204.9833333,811.3131126,279.59634
209.95,427.8203065,121.385963,209.9333333,745.9356621,260.9876371
214.9333333,446.1213442,124.4099916,214.9333333,640.8306134,230.4348947
219.9833333,460.0047884,126.3527539,219.9666667,566.0647328,209.2662364
224.95,475.1548809,127.2846637,224.9333333,522.2837296,197.504093
229.95,489.0685271,127.6644759,229.9333333,491.5170411,186.5530628
234.9833333,500.0518475,127.0463772,234.9833333,428.1337075,165.6863155
239.9666667,513.9615783,125.7988076,239.95,394.0432406,155.100624
244.95,523.6767128,124.8013316,244.9333333,375.6017736,149.1188841
249.95,531.9789107,123.0136618,249.9333333,330.0340611,132.732233
254.95,549.4882532,120.7009646,254.9333333,295.6788353,120.1922561
259.95,560.1108219,118.6497015,259.95,282.0452756,114.8830459
264.95,577.3530652,116.4449514,264.9333333,251.4568606,103.2839346
269.95,595.0117518,113.7721646,269.9333333,230.0792211,94.2498892
274.95,605.5981797,111.1520207,274.9333333,216.2868872,88.04695297
280,617.1940332,107.8914393,279.9833333,189.5271894,77.50704525
284.95,625.5520542,106.5057208,284.9333333,169.6037572,69.32187623
289.9666667,637.4160891,104.0318343,289.95,158.123854,64.42426608
294.95,653.9402668,101.4315779,294.9333333,138.4805824,55.81436464
299.95,662.786541,99.05225209,299.95,122.2438317,49.03365502
304.9333333,675.2427307,96.36641241,304.9333333,113.0631447,44.95684198
309.95,689.7188094,92.89356755,309.9333333,97.22910774,37.67955899
315.2166667,699.504343,90.59138528,315.2,86.56055106,32.9280676
320,709.9124275,87.70330001,319.9833333,79.8087737,29.78202001
324.95,722.5562527,85.88450219,324.9333333,79.25283018,29.23219841
329.9666667,736.4026235,85.90971226,329.95,72.20710415,25.90246818
335.2833333,753.5716039,85.75873295,335.2666667,67.65826049,23.75588826
340.0166667,771.1405691,86.95109361,340.0166667,64.51414991,22.22229978
345.05,781.3769514,87.31556081,345.05,58.99523653,19.80364516
350,795.8500277,88.33663364,349.9833333,55.8278398,18.52522514
354.95,808.7557079,89.69368745,354.9333333,53.45007602,17.66339094
359.95,814.9535422,89.90658945,359.9333333,49.32440628,15.79694269
364.9333333,824.3107375,90.44778829,364.9333333,46.65733017,14.56601541
369.95,832.9430591,90.12182224,369.9333333,45.08472792,13.83198638
374.9666667,829.2458337,90.1605058,374.95,41.52863436,12.4735922
380,837.7854909,91.70370318,380,38.78430449,11.62259308
384.95,836.7363346,92.49587939,384.9333333,37.51840613,11.18938976
390,824.930674,94.72445461,389.9833333,34.5407154,10.4578411
394.95,818.5493561,97.01530731,394.95,33.36666051,10.23846724
399.9666667,813.2246942,98.07500198,399.95,32.60646363,9.992445548
404.9333333,799.9360797,100.8093675,404.9333333,31.24509672,9.575536274
409.95,789.9392387,103.1539121,409.9333333,31.59408064,9.38581422
414.9333333,774.4865352,107.3817642,414.9333333,32.65434346,9.574981572
419.9333333,761.3594246,112.5464714,419.9333333,39.3332045,10.64540255
424.9333333,746.0365773,114.5688179,424.9333333,49.64304545,11.82132619
429.95,722.4745048,116.8615929,429.95,59.07305979,12.89379144
434.9333333,713.0156989,120.8633664,434.9333333,69.10865617,14.29337194
439.95,695.1591699,122.5575095,439.95,96.58993544,16.54380847
444.95,658.9854266,124.7369258,444.95,113.2917493,18.78522609
449.95,632.3796369,125.20202,449.9333333,130.3012845,20.94240025
454.95,609.0281554,125.7543803,454.95,181.8487124,25.16219509
459.9333333,577.2939894,123.787608,459.9333333,227.1348056,28.34412765
464.9333333,550.8255804,121.3788262,464.9333333,253.6498064,31.30759605
469.95,529.3527968,113.4388846,469.95,332.3805036,37.15381875
474.95,512.7579515,104.4301508,474.9333333,401.3893483,46.72151648
479.9333333,490.26454,98.81610533,479.9333333,438.8449981,51.87047867
484.95,468.2125566,89.20517844,484.9333333,545.2849075,65.35722511
489.95,450.6924766,83.25559758,489.9333333,639.5353473,79.97080471
495.0833333,426.2918559,78.80206841,495.0666667,700.6865888,95.20966794
499.95,395.6711058,71.23981078,499.9333333,792.8332465,118.8304596
504.95,378.7393944,66.71849251,504.9333333,863.9804271,137.5628046
509.9333333,357.4149647,60.66525734,509.9333333,918.8464373,153.6735691
515.0166667,329.5378001,53.8303534,515,1046.118762,197.8109994
519.95,311.1255376,50.51850013,519.9333333,1118.606861,229.9612567
