timeGFP,GFPmean,GFPstd,timeRFP,RFPmean,RFPstd
0,1375.994237,208.6696486,0,28.28892333,13.90197645
5.033333333,1493.85998,183.2434158,5.033333333,29.45769077,14.55519873
10.01666667,1511.084532,144.5938495,10.01666667,28.76621489,13.99551244
15.01666667,1472.632665,105.1755976,15.01666667,27.9259455,12.97159588
20.01666667,1436.384881,80.00080564,20.01666667,26.66101259,12.23568742
25.03333333,1380.307111,78.4048371,25.03333333,25.61032976,11.76075562
30.01666667,1373.812328,72.04145844,30.01666667,25.01669972,11.20996939
35.01666667,1405.214683,67.4508532,35.01666667,24.49308999,10.49163629
40.01666667,1409.825334,68.79906933,40.03333333,24.45829654,10.03361986
45.01666667,1411.729398,68.32396407,45.01666667,24.62134037,9.600237754
50.01666667,1409.689662,74.26716551,50.01666667,24.31214735,9.046395036
55.01666667,1417.087744,81.16509251,55.01666667,23.96275895,8.558394682
60.03333333,1406.617791,92.33123063,60.03333333,23.82011203,7.995250395
65.01666667,1407.863462,102.2677162,65.01666667,23.86703165,7.631779135
70.01666667,1393.393715,112.6589713,70.01666667,23.46162366,7.24678616
75.01666667,1387.368783,119.5650148,75.01666667,23.42085548,7.076704248
80.01666667,1381.265615,122.6613866,80.01666667,23.25369271,6.979113148
85.01666667,1383.720883,127.4774362,85.01666667,23.477403,6.920752259
90.01666667,1373.496774,128.8273678,90.01666667,23.61903008,6.939022984
95.01666667,1376.253467,128.1400491,95.03333333,23.66920772,6.841380798
100.0333333,1383.389285,133.3346706,100.0333333,24.04867109,6.980965755
105.0166667,1374.592913,134.0082416,105.0333333,24.31445513,7.006230243
110.0166667,1377.099709,136.1483127,110.0166667,24.83689905,7.092299487
115.0166667,1366.57669,137.402507,115.0166667,25.64194372,7.55207402
120.0166667,1350.1972,141.7583575,120.0166667,26.25822438,7.939339682
125.0166667,1352.679474,152.3065886,125.0333333,26.97383065,8.436426491
130.0166667,1352.802505,153.7187457,130.0166667,27.63774384,8.637795762
135.0166667,1351.416709,154.2633775,135.0166667,28.22354513,9.120478764
140.0166667,1348.446975,157.3235757,140.0333333,28.90989997,9.598568563
145.0166667,1345.40859,161.0170059,145.0166667,29.7238265,10.22398715
150.0166667,1332.560938,171.2384603,150.0333333,30.37052495,10.73046041
155.0166667,1329.536305,174.1690617,155.0166667,31.02537488,11.24480625
160.0166667,1322.613638,181.8785545,160.0166667,31.87193093,12.04926266
165.0166667,1322.694138,190.2747497,165.0333333,33.05858896,12.60650961
170.0166667,1317.576197,199.0851456,170.0166667,34.34211227,13.57723049
175.0166667,1320.476761,210.1290483,175.0333333,36.21127879,14.77445532
180.0166667,1320.634227,213.8771531,180.0166667,37.95275588,15.32310195
185.0166667,1332.56963,225.8275264,185.0333333,41.65930672,17.15776091
