timeGFP,GFPmean,GFPstd,timeRFP,RFPmean,RFPstd
0,1811.823482,689.1596427,0,43.97954529,14.69393884
5.033333333,1508.009493,574.0660929,5.033333333,37.80810513,11.48825324
10.03333333,2276.615511,870.8351619,10.03333333,45.97915082,15.49546983
15.03333333,1711.240225,623.8714294,15.03333333,46.4915511,14.01321611
20.03333333,1545.73362,530.9699129,20.03333333,38.82616712,11.27182294
25.03333333,1654.854606,382.9181441,25.03333333,43.34164281,10.41242347
30.05,1948.021907,244.5910653,30.05,37.16832115,10.19168209
35.05,1464.717281,174.8866302,35.05,43.66710774,10.8928476
40.03333333,1833.957643,234.1461788,40.03333333,44.66413009,12.85979881
45.03333333,1664.955952,197.2412053,45.03333333,42.3657351,11.68176187
50.03333333,1837.738946,212.8811048,50.03333333,42.61851134,12.31185933
55.05,1621.148988,184.6694463,55.05,41.40899927,12.8354892
60.05,1755.111537,193.4178011,60.05,35.11164208,10.5507978
65.03333333,1754.578924,200.7021846,65.03333333,41.18930342,12.80516678
70.03333333,1748.080699,204.19426,70.03333333,38.4480835,13.12767999
75.03333333,1840.537697,223.5196948,75.03333333,40.65125009,11.80141073
80.03333333,1397.225231,131.908602,80.03333333,34.74737789,11.25794031
85.05,1560.530034,189.2062022,85.05,39.1795919,10.70064336
90.05,1221.078807,116.6549855,90.05,31.6899345,7.770992675
95.03333333,1241.16508,123.7701284,95.03333333,33.11692975,9.627439137
100.05,1180.316323,147.0797765,100.05,33.94803567,9.229651553
105.05,1734.730241,233.8379194,105.05,36.8424588,7.701725384
110.0333333,1472.954233,180.9002799,110.0333333,36.12895369,8.957756743
115.0333333,1188.012201,131.0820495,115.0333333,26.72686906,7.591354204
120.0333333,1389.187779,153.8568742,120.0333333,36.62293871,8.627597477
125.3,1847.576915,266.1449174,125.3,34.42204671,9.595347448
130.0333333,1572.878871,294.563028,130.0333333,33.75041236,9.161400594
135.2166667,1606.164418,271.2618507,135.2166667,39.33267606,8.794866579
140.0333333,1548.02239,359.055478,140.0333333,31.94486224,10.59605833
145.05,1253.985906,271.0331921,145.05,34.93076413,8.757204296
150.05,1301.051698,204.223226,150.05,40.08372348,7.563613103
155.05,1260.9871,166.8403607,155.05,45.74475866,9.102562134
160.0333333,1397.5892,190.9550376,160.0333333,61.28909207,8.457182455
165.05,1308.299549,187.0291618,165.05,86.40407212,13.03220791
170.0333333,1019.039043,153.2148314,170.0333333,121.0500462,22.13984499
175.0333333,1079.425407,141.2242457,175.0333333,178.3758895,29.04148501
180.0333333,1088.422534,140.9103159,180.0333333,230.5161971,41.42218102
185.05,889.1539887,128.601773,185.05,289.39549,54.44366149
190.0333333,1025.205893,140.8292494,190.0333333,353.857234,68.97377624
195.05,873.2766017,136.4651419,195.05,437.0837277,92.8919425
200.05,1052.027113,180.6513661,200.05,455.0000182,100.3157427
205.05,894.5557536,139.7391776,205.05,497.4042308,109.8004511
210.0333333,773.2245517,117.5712466,210.0333333,497.1339136,114.1583873
215.0333333,770.499829,132.8491617,215.0333333,546.981852,120.0331646
220.05,820.9780272,148.8955013,220.05,475.8580826,121.9957313
225.05,659.3031916,118.9702963,225.05,448.6378101,118.8020666
230.0333333,772.0203446,126.2488546,230.0333333,504.2405455,119.0618636
235.0333333,639.6503904,130.9697232,235.0333333,436.5517375,112.5287809
240.05,668.2935084,147.8671603,240.05,439.87016,100.6166113
245.0333333,699.7297718,149.3540275,245.0333333,401.2998702,94.2242855
250.05,705.2346556,164.393493,250.05,401.1719898,84.82638953
255.05,1022.497891,235.1007042,255.05,386.5357911,79.71406409
260.0333333,819.1882291,194.1619049,260.0333333,354.3341484,79.35338214
265.0333333,671.5891699,162.1401958,265.0333333,294.8847867,73.59544116
270.0333333,912.3251808,208.5051206,270.0333333,302.849085,67.98691446
275.0333333,946.6138482,238.6633736,275.0333333,286.5204607,65.8625546
280.0333333,809.4050543,202.4554511,280.0333333,249.1883856,54.63421031
285.0333333,917.2292743,221.4211562,285.0333333,229.1459406,47.13577849
290.0333333,800.8411752,206.5083094,290.0333333,230.1139794,48.28484118
295.05,792.348466,188.2991182,295.05,191.1271506,33.57138485
300.0333333,845.1781367,208.7123794,300.0333333,223.9379787,49.73250839
305.0333333,695.1415282,187.3964517,305.0333333,194.1231973,45.98902831
310.0333333,783.4780888,200.6072262,310.0333333,240.0741189,54.69197119
315.05,860.5375505,230.9907712,315.05,258.295528,63.21737814
320.0333333,570.4036218,149.0367901,320.0333333,349.0416642,87.90443741
325.0333333,694.3297101,176.0754177,325.0333333,427.5044718,105.9070069
330.05,525.0040313,151.7995385,330.05,446.4305506,117.8782556
335.0333333,556.767695,130.2284608,335.0333333,640.9972753,172.5861215
340.0333333,557.1003596,135.8747935,340.0333333,649.5375198,171.9594664
345.0333333,520.0928206,116.9782487,345.0333333,697.9730199,167.1681495
350.0333333,536.2145647,125.3538068,350.0333333,701.6086084,181.5345913
355.05,586.6548294,146.5619707,355.05,861.0405145,201.5623255
360.0333333,640.1672992,170.7436798,360.0333333,831.2313068,169.6101293
365.05,504.260277,122.015278,365.05,900.9773872,215.4839593
370.0333333,607.1478993,152.830232,370.0333333,954.9410017,217.9521361
375.0333333,451.1566727,102.6702865,375.0333333,837.4589031,198.5575433
380.0333333,537.7195599,120.549569,380.0333333,908.7745039,241.5525081
385.0333333,545.1077423,123.8593761,385.0333333,816.636374,212.5774311
390.0333333,478.8563502,119.1920255,390.0333333,758.779986,192.7818556
395.05,616.1392137,141.7812367,395.05,866.2888446,216.4402781
400.05,429.0705574,106.7308501,400.05,638.5637054,143.8726623
405.05,535.4279434,120.8484428,405.05,676.9008766,179.2853255
410.05,497.5760595,97.65768386,410.05,543.399154,145.0011099
415.0333333,523.6986091,105.924967,415.0333333,588.7946968,160.6535318
420.0333333,666.2845869,125.0771723,420.0333333,466.4784622,141.4195902
425.0333333,681.6051592,144.111932,425.0333333,439.2737303,107.6519523
430.0333333,624.9263333,135.8831352,430.0333333,445.7339932,111.7226949
435.05,727.7097316,156.9577371,435.05,424.8697081,115.2274305
440.0333333,606.4022304,138.2571422,440.0333333,345.5208568,87.33965314
445.05,615.7265982,139.013895,445.05,354.5439258,92.40585905
450.0333333,708.1013316,158.2796873,450.0333333,330.5828463,101.6733746
455.05,517.0363595,127.5384903,455.05,316.1917293,124.3691943
460.0333333,606.8214167,121.4166952,460.0333333,368.9114698,122.1697137
465.05,449.9895413,104.3507575,465.05,390.8609538,127.0815478
470.0333333,620.7384948,143.4296197,470.0333333,458.0350819,141.4858387
475.05,504.2335697,115.9376723,475.05,531.2624521,159.1143606
480.05,481.0242464,108.3998502,480.05,588.2460542,170.3466278
485.05,574.570869,133.0802468,485.05,577.0126754,190.3585591
490.0333333,460.5312644,104.4629963,490.0333333,825.9765845,230.1939935
495.05,402.8793235,94.76349977,495.05,918.3643286,287.965554
500.0333333,484.0921816,94.59023174,500.0333333,1144.849918,283.5050845
505.0333333,471.7017067,100.1256085,505.0333333,1031.845742,250.0305079
510.0333333,390.4613189,90.88376812,510.0333333,1175.932013,275.8431472
515.0333333,412.3147203,95.60358521,515.0333333,937.9959661,235.4587454
520.0333333,492.9365827,116.4558003,520.0333333,1086.237003,239.4274505
525.0333333,405.5334445,93.01673716,525.0333333,1114.279327,241.6020641
530.0333333,406.942498,97.36078643,530.0333333,1026.276093,251.6408564
535.0333333,401.0745095,87.27480591,535.0333333,1072.785872,255.9549736
540.0333333,468.2879845,112.7733075,540.0333333,1001.559337,247.7081987
545.05,493.2965489,127.7239248,545.05,907.6192408,248.857132
550.0333333,450.375946,107.1223816,550.0333333,931.4496464,222.2517807
