Parameter_Name,Type,Mean,Std
k_L_pm0,unknown,0.1515,0.07425
k_L_pm,unknown,50.5,24.75
Theta_T,unknown,151.5,74.25
Theta_aTc,unknown,50,25
n_aTc,unknown,2.5,1.25
n_T,unknown,2.5,1.25
k_T_pm0,unknown,0.505,0.2475
k_T_pm,unknown,5.05,2.475
Theta_L,unknown,151.5,74.25
Theta_IPTG,unknown,0.5,0.25
n_IPTG,unknown,2.5,1.25
n_L,unknown,2.5,1.25
k_IPTG,unknown,0.202,0.099
k_in_IPTG,unknown,0.202,0.099
k_out_IPTG,unknown,0.202,0.099
k_aTc,unknown,0.505,0.2475
k_in_aTc,unknown,0.505,0.2475
k_out_aTc,unknown,0.505,0.2475
g_Lm,fixed,0.1386,0
g_Tm,fixed,0.1386,0
g_Lp,fixed,0.0165,0
g_Tp,fixed,0.0165,0
