Parameter_Name,Type,Mean,Std
k_L_pm0,unknown,0.2011527,0.03352545
k_L_pm,unknown,8.594406,1.432401
Theta_T,unknown,76.4,12.7333333333333
Theta_aTc,unknown,35.98,5.99666666666667
n_aTc,unknown,2,0.333333333333333
n_T,unknown,2.152,0.358666666666667
k_T_pm0,unknown,0.16889674,0.0281494566666667
k_T_pm,unknown,2.577039,0.4295065
Theta_L,unknown,124.9,20.8166666666667
Theta_IPTG,unknown,0.2926,0.0487666666666667
n_IPTG,unknown,2,0.333333333333333
n_L,unknown,2,0.333333333333333
k_IPTG,unknown,0.04,0.00666666666666667
g_Lm,fixed,0.1386,0
g_Tm,fixed,0.1386,0
g_Lp,fixed,0.0165,0
g_Tp,fixed,0.0165,0
